word,sentpos,wlen,firsttime,totaltime,word,sent_id,sent_pos,word_length,surprisal,entropy,entry,probability
Um,1,2,221.46666666666667,351.8,um,0,0,2,1.740489028148017,4.514668618022902,572.2709025994878,0.17543458718484603
das,2,3,199.2133333333333,371.7600000000001,das,1,1,3,3.30127667988058,4.514668618022902,6.052484399015383,0.03683610944884899
Vorhandensein,3,13,436.1066666666667,974.1066666666667,vorhandensein,2,2,13,8.449252992187777,4.514668618022902,7.636055606681435,0.0002140602603442689
der,4,3,192.4266666666667,334.5866666666666,der,3,3,3,11.92981459356641,4.514668618022902,11.884946378961146,6.590939905693065e-06
Polymerasekettenreaktion-Produkte,5,33,2250.5466666666666,4473.373333333333,polymerasekettenreaktionprodukte,4,4,32,16.62005693659609,4.514668618022902,8.747995263753312,6.053422456315564e-08
feststellen,6,11,346.8133333333334,729.9466666666665,feststellen,5,5,11,11.92272782027517,4.514668618022902,11.922727820305235,6.637814300507129e-06
zu,7,2,71.62666666666667,91.05333333333336,zu,6,6,2,11.998049910571675,4.514668618022902,11.403602539920714,6.156205807236884e-06
können,8,6,254.41333333333324,448.6533333333332,kãnnen,7,7,6,4.188092363686414,4.514668618022902,6.740885563643181,0.015175206052862631
verwendet,9,9,315.5866666666666,560.5866666666666,verwendet,8,8,9,13.705307223655884,4.514668618022902,5.517653070509686,1.1165050711660332e-06
man,10,3,194.24,302.8666666666666,man,9,9,3,6.195328094805703,4.514668618022902,10.859515495309877,0.0020389341262431232
die,11,3,121.56000000000002,187.9333333333333,die,10,10,3,3.1025737720838626,4.514668618022902,6.508210435271915,0.04493340509588607
Gelelektrophorese,12,17,1349.3333333333335,2115.0800000000004,gelelektrophorese,11,11,17,16.569644897902705,4.514668618022902,8.51874830955148,6.366410729679436e-08
mit,13,3,173.7866666666667,269.78666666666663,mit,12,12,3,11.92272782027517,4.514668618022902,11.922727820305235,6.637814300507129e-06
einer,14,5,197.2266666666666,320.7333333333333,einer,13,13,5,3.1222233094492626,4.514668618022902,5.969170932415407,0.04405910242581397
anschließenden,15,14,375.3866666666668,776.8399999999998,anschlieãenden,14,14,14,14.465755009347665,4.514668618022902,7.851990445002999,5.219181775452309e-07
Behandlung,16,10,297.3866666666668,594.7066666666664,behandlung,15,15,10,11.953080892959706,4.514668618022902,11.776766110077775,6.439363275759293e-06
des,17,3,235.50666666666663,348.1599999999999,des,16,16,3,5.128621773477422,4.514668618022902,10.870306181491255,0.005924720456109558
Gels,18,4,200.10666666666668,354.71999999999997,gels,17,17,4,15.027007725989101,4.514668618022902,8.144967098957533,2.977511620377137e-07
durch,19,5,212.79999999999995,363.17333333333346,durch,18,18,5,11.92272782027517,4.514668618022902,11.922727820305235,6.637814300507129e-06
Ethidiumbromid,20,14,1815.1466666666663,2910.5200000000004,ethidiumbromid,19,19,14,13.736709127206742,4.514668618022902,5.63037679167302,1.0819894509119934e-06
Bei,1,3,158.0533333333333,236.93333333333334,bei,20,20,3,11.92272782027517,4.514668618022902,11.922727820305235,6.637814300507129e-06
dieser,2,6,323.1066666666668,560.2000000000003,dieser,21,21,6,5.172375918407706,4.514668618022902,5.774065266424437,0.005671078779484926
